Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
23/07/2018 14:00:29.921;20;none;none;none;0;none;none;none;none;none;none;Focus Gained
23/07/2018 14:00:35.347;5444;none;none;none;0;none;Mouse;Move;998;738;none;none
23/07/2018 14:00:35.353;5451;none;none;none;0;none;Mouse;Move;998;739;none;none
23/07/2018 14:00:35.361;5459;none;none;none;0;none;Mouse;Move;998;739;none;none
23/07/2018 14:00:35.369;5467;none;none;none;0;none;Mouse;Move;997;739;none;none
23/07/2018 14:00:35.377;5475;none;none;none;0;none;Mouse;Move;995;739;none;none
23/07/2018 14:00:35.385;5483;none;none;none;0;none;Mouse;Move;995;739;none;none
23/07/2018 14:00:35.393;5491;none;none;none;0;none;Mouse;Move;994;739;none;none
23/07/2018 14:00:35.401;5499;none;none;none;0;none;Mouse;Move;994;739;none;none
23/07/2018 14:00:35.410;5508;none;none;none;0;none;Mouse;Move;994;738;none;none
23/07/2018 14:00:35.418;5516;none;none;none;0;none;Mouse;Move;994;738;none;none
23/07/2018 14:00:35.426;5524;none;none;none;0;none;Mouse;Move;995;737;none;none
23/07/2018 14:00:36.72;6170;none;none;none;0;none;Mouse;Move;996;737;none;none
23/07/2018 14:00:36.74;6172;none;none;none;0;none;Mouse;Move;996;737;none;none
23/07/2018 14:00:36.82;6180;none;none;none;0;none;Mouse;Move;997;737;none;none
23/07/2018 14:00:36.90;6188;none;none;none;0;none;Mouse;Move;997;738;none;none
23/07/2018 14:00:36.178;6276;none;none;none;0;none;Mouse;Move;997;738;none;none
23/07/2018 14:00:36.186;6284;none;none;none;0;none;Mouse;Move;997;738;none;none
23/07/2018 14:00:36.194;6292;none;none;none;0;none;Mouse;Move;997;738;none;none
23/07/2018 14:00:36.202;6300;none;none;none;0;none;Mouse;Move;996;738;none;none
23/07/2018 14:00:36.210;6308;none;none;none;0;none;Mouse;Move;994;737;none;none
23/07/2018 14:00:36.218;6316;none;none;none;0;none;Mouse;Move;992;735;none;none
23/07/2018 14:00:36.226;6324;none;none;none;0;none;Mouse;Move;989;734;none;none
23/07/2018 14:00:36.234;6332;none;none;none;0;none;Mouse;Move;985;731;none;none
23/07/2018 14:00:36.242;6340;none;none;none;0;none;Mouse;Move;981;728;none;none
23/07/2018 14:00:36.249;6347;none;none;none;0;none;Mouse;Move;976;723;none;none
23/07/2018 14:00:36.257;6355;none;none;none;0;none;Mouse;Move;970;718;none;none
23/07/2018 14:00:36.265;6363;none;none;none;0;none;Mouse;Move;964;712;none;none
23/07/2018 14:00:36.273;6371;none;none;none;0;none;Mouse;Move;958;707;none;none
23/07/2018 14:00:36.281;6379;none;none;none;0;none;Mouse;Move;953;700;none;none
23/07/2018 14:00:36.289;6387;none;none;none;0;none;Mouse;Move;947;694;none;none
23/07/2018 14:00:36.297;6395;none;none;none;0;none;Mouse;Move;942;689;none;none
23/07/2018 14:00:36.306;6404;none;none;none;0;none;Mouse;Move;939;685;none;none
23/07/2018 14:00:36.314;6412;none;none;none;0;none;Mouse;Move;934;680;none;none
23/07/2018 14:00:36.322;6420;none;none;none;0;none;Mouse;Move;930;678;none;none
23/07/2018 14:00:36.330;6428;none;none;none;0;none;Mouse;Move;926;674;none;none
23/07/2018 14:00:36.338;6436;none;none;none;0;none;Mouse;Move;923;672;none;none
23/07/2018 14:00:36.346;6444;none;none;none;0;none;Mouse;Move;921;670;none;none
23/07/2018 14:00:36.354;6452;none;none;none;0;none;Mouse;Move;917;667;none;none
23/07/2018 14:00:36.362;6460;none;none;none;0;none;Mouse;Move;913;665;none;none
23/07/2018 14:00:36.370;6468;none;none;none;0;none;Mouse;Move;910;662;none;none
23/07/2018 14:00:36.378;6476;none;none;none;0;none;Mouse;Move;907;660;none;none
23/07/2018 14:00:36.386;6484;none;none;none;0;none;Mouse;Move;903;658;none;none
23/07/2018 14:00:36.394;6492;none;none;none;0;none;Mouse;Move;902;657;none;none
23/07/2018 14:00:36.402;6500;none;none;none;0;none;Mouse;Move;899;655;none;none
23/07/2018 14:00:36.410;6508;none;none;none;0;none;Mouse;Move;899;655;none;none
23/07/2018 14:00:36.418;6516;none;none;none;0;none;Mouse;Move;898;655;none;none
23/07/2018 14:00:36.426;6524;none;none;none;0;none;Mouse;Move;897;654;none;none
23/07/2018 14:00:36.434;6532;none;none;none;0;none;Mouse;Move;896;654;none;none
23/07/2018 14:00:36.442;6540;none;none;none;0;none;Mouse;Move;895;653;none;none
23/07/2018 14:00:36.450;6548;none;none;none;0;none;Mouse;Move;894;652;none;none
23/07/2018 14:00:36.457;6555;none;none;none;0;none;Mouse;Move;892;651;none;none
23/07/2018 14:00:36.465;6563;none;none;none;0;none;Mouse;Move;890;650;none;none
23/07/2018 14:00:36.473;6571;none;none;none;0;none;Mouse;Move;888;648;none;none
23/07/2018 14:00:36.481;6579;none;none;none;0;none;Mouse;Move;886;646;none;none
23/07/2018 14:00:36.490;6588;none;none;none;0;none;Mouse;Move;882;644;none;none
23/07/2018 14:00:36.498;6596;none;none;none;0;none;Mouse;Move;879;642;none;none
23/07/2018 14:00:36.506;6604;none;none;none;0;none;Mouse;Move;873;638;none;none
23/07/2018 14:00:36.514;6612;none;none;none;0;none;Mouse;Move;869;635;none;none
23/07/2018 14:00:36.522;6620;none;none;none;0;none;Mouse;Move;864;631;none;none
23/07/2018 14:00:36.530;6628;none;none;none;0;none;Mouse;Move;862;629;none;none
23/07/2018 14:00:36.538;6636;none;none;none;0;none;Mouse;Move;858;625;none;none
23/07/2018 14:00:36.546;6644;none;none;none;0;none;Mouse;Move;855;622;none;none
23/07/2018 14:00:36.554;6652;none;none;none;0;none;Mouse;Move;853;619;none;none
23/07/2018 14:00:36.562;6660;none;none;none;0;none;Mouse;Move;851;617;none;none
23/07/2018 14:00:36.570;6668;none;none;none;0;none;Mouse;Move;849;616;none;none
23/07/2018 14:00:36.578;6676;none;none;none;0;none;Mouse;Move;847;612;none;none
23/07/2018 14:00:36.586;6684;none;none;none;0;none;Mouse;Move;845;611;none;none
23/07/2018 14:00:36.594;6692;none;none;none;0;none;Mouse;Move;844;609;none;none
23/07/2018 14:00:36.602;6700;none;none;none;0;none;Mouse;Move;842;607;none;none
23/07/2018 14:00:36.610;6708;none;none;none;0;none;Mouse;Move;840;605;none;none
23/07/2018 14:00:36.618;6716;none;none;none;0;none;Mouse;Move;838;604;none;none
23/07/2018 14:00:36.626;6724;none;none;none;0;none;Mouse;Move;835;602;none;none
23/07/2018 14:00:36.634;6732;none;none;none;0;none;Mouse;Move;833;602;none;none
23/07/2018 14:00:36.642;6740;none;none;none;0;none;Mouse;Move;830;599;none;none
23/07/2018 14:00:36.650;6748;none;none;none;0;none;Mouse;Move;826;597;none;none
23/07/2018 14:00:36.658;6756;none;none;none;0;none;Mouse;Move;824;597;none;none
23/07/2018 14:00:36.665;6763;none;none;none;0;none;Mouse;Move;822;595;none;none
23/07/2018 14:00:36.673;6771;none;none;none;0;none;Mouse;Move;819;594;none;none
23/07/2018 14:00:36.681;6779;none;none;none;0;none;Mouse;Move;817;592;none;none
23/07/2018 14:00:36.689;6787;none;none;none;0;none;Mouse;Move;815;591;none;none
23/07/2018 14:00:36.698;6796;none;none;none;0;none;Mouse;Move;812;589;none;none
23/07/2018 14:00:36.706;6804;none;none;none;0;none;Mouse;Move;809;587;none;none
23/07/2018 14:00:36.714;6812;none;none;none;0;none;Mouse;Move;807;587;none;none
23/07/2018 14:00:36.722;6820;none;none;none;0;none;Mouse;Move;805;586;none;none
23/07/2018 14:00:36.730;6828;none;none;none;0;none;Mouse;Move;802;585;none;none
23/07/2018 14:00:36.738;6836;none;none;none;0;none;Mouse;Move;801;584;none;none
23/07/2018 14:00:36.746;6844;none;none;none;0;none;Mouse;Move;800;584;none;none
23/07/2018 14:00:36.754;6852;none;none;none;0;none;Mouse;Move;800;583;none;none
23/07/2018 14:00:36.762;6860;none;none;none;0;none;Mouse;Move;799;582;none;none
23/07/2018 14:00:36.770;6868;none;none;none;0;none;Mouse;Move;798;581;none;none
23/07/2018 14:00:36.778;6876;none;none;none;0;none;Mouse;Move;797;579;none;none
23/07/2018 14:00:36.786;6884;none;none;none;0;none;Mouse;Move;796;579;none;none
23/07/2018 14:00:36.794;6892;none;none;none;0;none;Mouse;Move;796;577;none;none
23/07/2018 14:00:36.802;6900;none;none;none;0;none;Mouse;Move;795;575;none;none
23/07/2018 14:00:36.810;6908;none;none;none;0;none;Mouse;Move;794;573;none;none
23/07/2018 14:00:36.818;6916;none;none;none;0;none;Mouse;Move;794;571;none;none
23/07/2018 14:00:36.826;6924;none;none;none;0;none;Mouse;Move;793;568;none;none
23/07/2018 14:00:36.834;6932;none;none;none;0;none;Mouse;Move;791;564;none;none
23/07/2018 14:00:36.842;6940;none;none;none;0;none;Mouse;Move;790;562;none;none
23/07/2018 14:00:36.849;6947;none;none;none;0;none;Mouse;Move;789;558;none;none
23/07/2018 14:00:36.857;6955;none;none;none;0;none;Mouse;Move;788;554;none;none
23/07/2018 14:00:36.865;6963;none;none;none;0;none;Mouse;Move;786;551;none;none
23/07/2018 14:00:36.874;6972;none;none;none;0;none;Mouse;Move;785;546;none;none
23/07/2018 14:00:36.882;6980;none;none;none;0;none;Mouse;Move;784;543;none;none
23/07/2018 14:00:36.890;6988;none;none;none;0;none;Mouse;Move;783;540;none;none
23/07/2018 14:00:36.898;6996;none;none;none;0;none;Mouse;Move;781;536;none;none
23/07/2018 14:00:36.906;7004;none;none;none;0;none;Mouse;Move;780;534;none;none
23/07/2018 14:00:36.914;7012;none;none;none;0;none;Mouse;Move;779;531;none;none
23/07/2018 14:00:36.922;7020;none;none;none;0;none;Mouse;Move;777;528;none;none
23/07/2018 14:00:36.930;7028;none;none;none;0;none;Mouse;Move;776;526;none;none
23/07/2018 14:00:36.939;7037;none;none;none;0;none;Mouse;Move;776;523;none;none
23/07/2018 14:00:36.946;7044;none;none;none;0;none;Mouse;Move;775;521;none;none
23/07/2018 14:00:36.954;7052;none;none;none;0;none;Mouse;Move;774;519;none;none
23/07/2018 14:00:36.962;7060;none;none;none;0;none;Mouse;Move;773;515;none;none
23/07/2018 14:00:36.970;7068;none;none;none;0;none;Mouse;Move;773;513;none;none
23/07/2018 14:00:36.978;7076;none;none;none;0;none;Mouse;Move;772;510;none;none
23/07/2018 14:00:36.986;7084;none;none;none;0;none;Mouse;Move;771;507;none;none
23/07/2018 14:00:36.994;7092;none;none;none;0;none;Mouse;Move;770;504;none;none
23/07/2018 14:00:37.2;7100;none;none;none;0;none;Mouse;Move;769;499;none;none
23/07/2018 14:00:37.10;7108;none;none;none;0;none;Mouse;Move;768;496;none;none
23/07/2018 14:00:37.18;7116;none;none;none;0;none;Mouse;Move;768;493;none;none
23/07/2018 14:00:37.26;7124;none;none;none;0;none;Mouse;Move;768;490;none;none
23/07/2018 14:00:37.34;7132;none;none;none;0;none;Mouse;Move;768;487;none;none
23/07/2018 14:00:37.42;7140;none;none;none;0;none;Mouse;Move;768;484;none;none
23/07/2018 14:00:37.50;7148;none;none;none;0;none;Mouse;Move;768;480;none;none
23/07/2018 14:00:37.57;7155;none;none;none;0;none;Mouse;Move;768;475;none;none
23/07/2018 14:00:37.65;7163;none;none;none;0;none;Mouse;Move;767;471;none;none
23/07/2018 14:00:37.73;7171;none;none;none;0;none;Mouse;Move;767;464;none;none
23/07/2018 14:00:37.81;7179;none;none;none;0;none;Mouse;Move;766;460;none;none
23/07/2018 14:00:37.90;7188;none;none;none;0;none;Mouse;Move;766;451;none;none
23/07/2018 14:00:37.98;7196;none;none;none;0;none;Mouse;Move;764;447;none;none
23/07/2018 14:00:37.106;7204;none;none;none;0;none;Mouse;Move;764;440;none;none
23/07/2018 14:00:37.114;7212;none;none;none;0;none;Mouse;Move;763;434;none;none
23/07/2018 14:00:37.122;7220;none;none;none;0;none;Mouse;Move;762;426;none;none
23/07/2018 14:00:37.130;7228;none;none;none;0;none;Mouse;Move;761;420;none;none
23/07/2018 14:00:37.138;7236;none;none;none;0;none;Mouse;Move;760;413;none;none
23/07/2018 14:00:37.146;7244;none;none;none;0;none;Mouse;Move;759;407;none;none
23/07/2018 14:00:37.154;7252;none;none;none;0;none;Mouse;Move;758;401;none;none
23/07/2018 14:00:37.162;7260;none;none;none;0;none;Mouse;Move;757;396;none;none
23/07/2018 14:00:37.170;7268;none;none;none;0;none;Mouse;Move;755;391;none;none
23/07/2018 14:00:37.178;7276;none;none;none;0;none;Mouse;Move;754;387;none;none
23/07/2018 14:00:37.186;7284;none;none;none;0;none;Mouse;Move;753;383;none;none
23/07/2018 14:00:37.194;7292;none;none;none;0;none;Mouse;Move;752;379;none;none
23/07/2018 14:00:37.202;7300;none;none;none;0;none;Mouse;Move;751;377;none;none
23/07/2018 14:00:37.210;7308;none;none;none;0;none;Mouse;Move;750;374;none;none
23/07/2018 14:00:37.218;7316;none;none;none;0;none;Mouse;Move;750;374;none;none
23/07/2018 14:00:37.226;7324;none;none;none;0;none;Mouse;Move;749;372;none;none
23/07/2018 14:00:37.234;7332;none;none;none;0;none;Mouse;Move;748;372;none;none
23/07/2018 14:00:37.258;7356;none;none;none;0;none;Mouse;Move;748;372;none;none
23/07/2018 14:00:37.338;7436;none;none;none;0;none;Mouse;Move;747;372;none;none
23/07/2018 14:00:37.346;7444;none;none;none;0;none;Mouse;Move;747;371;none;none
23/07/2018 14:00:37.354;7452;none;none;none;0;none;Mouse;Move;745;371;none;none
