ParticipantName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
Tiffany	25/07/2018	199250		27	14:59:12.596	1167617280477905												Unclassified	14						1	157	157	208	154	182	155			44,15	251,42	58,57	252,20	51,36	251,81	202,78	243,79	740,84	258,89	247,32	735,21	768,34	768,34	3,43	3,84	0	0	
Tiffany	25/07/2018	199250		56	14:59:12.624	1167617280505976												Unclassified	28						2	145	141	208	174	176	157			40,86	256,04	58,66	246,65	49,76	251,34	202,79	243,93	741,28	258,96	247,49	735,48	768,80	768,80	3,49	3,80	0	0	
Tiffany	25/07/2018	199250		84	14:59:12.653	1167617280534144												Unclassified	163						3																			-8,38						4	4	
Tiffany	25/07/2018	199250		112	14:59:12.681	1167617280562387												Unclassified	163						4																			-8,38						4	4	
Tiffany	25/07/2018	199250		137	14:59:12.706	1167617280587382												Unclassified	163						5																			-8,38						4	4	
Tiffany	25/07/2018	199250		162	14:59:12.731	1167617280612383												Unclassified	163						6																			-8,38						4	4	
Tiffany	25/07/2018	199250		187	14:59:12.756	1167617280637364												Unclassified	163						7																			-8,38						4	4	
Tiffany	25/07/2018	199250	Screen Recordings (1)	206	14:59:12.775										ScreenRecStarted			Unclassified	163																																	
Tiffany	25/07/2018	199250	Screen Recordings (1)	212	14:59:12.781	1167617280662436												Unclassified	163						8																			-8,38						4	4	
Tiffany	25/07/2018	199250	Screen Recordings (1)	254	14:59:12.823	1167617280704154												Unclassified	59						9	348	178	426	276	387	227	387	227	97,92	245,58	119,81	217,88	108,87	231,73	203,51	244,52	741,10	259,75	247,94	735,28	768,80	768,80	3,53	3,95	0	0	
